timestamp,open,high,low,close,volume,turnover
1732838400000,95702.8,98735.3,95420.3,97526.7,92546.65,8994699846.4799
1732924800000,97526.7,97539.8,96151,96484,42120.126,4074947021.356
1733011200000,96484,97929.4,95750,97265.4,57117.524,5535272255.3612
1733097600000,97265.4,98270.7,94455,95886.6,135368.369,13010459383.5404
1733184000000,95886.6,96389,93605.4,95919.6,106345.342,10133416881.6242
1733270400000,95919.6,99117.6,94638,98671.8,131059.585,12682696549.2128
1733356800000,98671.8,104698.8,90530,96977.9,282711.659,28285487840.8342
1733443200000,96977.9,101998.7,96319.6,99789.9,135216.668,13414656554.867
1733529600000,99789.9,100540.2,98883.4,99913,47506.658,4737371968.8625
1733616000000,99913,101464.8,98729.1,101186.8,53786.479,5372922087.393
1733702400000,101186.8,101296.1,93888,97329,175409.992,17199404118.01
1733788800000,97329,98299,94190.8,96552.8,153439.146,14792724546.1781
1733875200000,96552.8,101961,95574.3,101128.3,122591.044,12172792334.6915
1733961600000,101128.3,102636.2,99300,99982.5,117317.241,11830766327.1368
1734048000000,99982.5,101935.7,99168,101415.8,80764.043,8125220068.2086
1734134400000,101415.8,102748,100577.1,101419.9,51260.197,5204702619.6375
1734220800000,101419.9,105338.2,101243.4,104515.6,77174.467,7954830989.1851
1734307200000,104515.6,107850,103304.3,106094.2,136569.347,14424459457.7338
1734393600000,106094.2,108421.6,105300,106084.6,100762.057,10756895824.6775
1734480000000,106084.6,106470.3,99800,100148.6,183873.186,18979588796.443
1734566400000,100148.6,102742.4,95640.5,97399.4,202086.54,20062720081.8751
1734652800000,97399.4,98221.5,92230,97757.3,191089.684,18286850440.5533
1734739200000,97757.3,99482.8,96326.7,97249.7,69652.31,6808157121.6167
1734825600000,97249.7,97431.6,94200,95144.7,76364.427,7321873620.2492
1734912000000,95144.7,96500,92465.8,94837,125462.025,11852960114.939
1734998400000,94837,99435.7,93508.6,98628.3,105970.467,10250521010.5092
1735084800000,98628.3,99590,97562.6,99405.2,67405.221,6640188781.1755
1735171200000,99405.2,99950,95137.5,95743.2,100668.442,9726514484.3588
1735257600000,95743.2,97500,93380.1,94251,103774.46,9901230580.6281
1735344000000,94251,95699.9,94070.2,95255.8,36894.789,3495950021.5171
1735430400000,95255.8,95300,92926.7,93699,50241.219,4730768959.8991
1735516800000,93699,95000,91463.7,92739.3,128458.068,11959785141.1981
