datetime,open,high,low,close,volume,turnover,taker_ratio,taker_buy_vol,taker_sell_vol,taker_vol_ratio
2024-06-13 04:00:00,68294.8,68340.9,67850.0,67955.2,2054.253,139846104.3023,0.2143002648197155,29969057.18598845,109877047.11631155,0.27275084262379545
2024-06-13 05:00:00,67955.2,68148.0,67650.0,67708.0,3418.1,231987909.7501,0.11646586345381527,27018672.219891164,204969237.53020883,0.13181818181818183
2024-06-13 06:00:00,67708.0,67820.0,66937.7,67442.0,8661.285,583349239.9452,0.5715742944576688,333427430.244095,249921809.70110494,1.3341269841269916
2024-06-13 07:00:00,67442.0,67681.4,67290.0,67297.2,3535.094,238725461.6263,0.018395503321403158,4391475.022250104,234333986.6040499,0.01874023945860787
2024-06-13 08:00:00,67297.2,67631.0,67286.7,67555.3,2102.707,141937174.4516,0.7801336044147649,110729959.50537397,31207214.946226012,3.5482166446501466
2024-06-13 09:00:00,67555.3,67566.6,67268.4,67490.3,2106.513,141974536.1436,0.7441314553990612,105647718.21014369,36326817.93345631,2.9082568807339477
2024-06-13 10:00:00,67490.3,67714.0,67375.0,67707.7,2022.327,136705176.873,0.9814159292035313,134164638.18774839,2540538.6852516118,52.80952380949904
2024-06-13 11:00:00,67707.7,67732.6,67487.0,67544.9,1528.148,103319127.2865,0.23574918566772315,24357400.12169221,78961727.1648078,0.30847096430469145
2024-06-13 12:00:00,67544.9,67557.2,67152.6,67398.9,3399.4,228867598.1501,0.6087493821057679,139323008.95790455,89544589.19219543,1.5559065066328734
2024-06-13 13:00:00,67398.9,67942.8,67194.9,67782.2,4728.818,319617459.6567,0.785265409814141,250984535.4410732,68632924.21562682,3.656911581569
2024-06-13 14:00:00,67782.2,67922.4,67618.3,67707.0,3021.769,204805929.0934,0.29168036829990013,59737868.827966146,145068060.26543388,0.41179201485607925
2024-06-13 15:00:00,67707.0,68500.0,67420.0,67729.1,14123.02,959186390.6399,0.28620370370370907,274522697.5433321,684663693.0965679,0.40095991698016364
2024-06-13 16:00:00,67729.1,68249.4,67500.5,67576.1,6989.526,474463896.586,0.10094805715049594,47896208.54841053,426567688.0375895,0.11228278627655894
2024-06-13 17:00:00,67576.1,67724.9,67112.8,67344.7,9158.075,617630248.7392,0.37885966345367994,233995188.17614594,383635060.5630541,0.6099421357180325
2024-06-13 18:00:00,67344.7,67511.6,66313.9,66433.1,13382.812,893785908.4134,0.09952408783502587,88953227.2546436,804832681.1587565,0.11052387575337193
2024-06-13 19:00:00,66433.1,66992.7,66225.9,66950.1,8490.529,565626189.3939,0.9444444444444561,534202512.2053566,31423677.188543424,17.000000000003766
2024-06-13 20:00:00,66950.1,67038.9,66598.8,66885.7,4132.143,276147631.2124,0.6518972960690749,180019894.10324365,96127737.10915639,1.8727154046997363
