timestamp,funding_rate
1762732800000,9.233e-05
1762761600000,8.068e-05
1762790400000,4.716e-05
1762819200000,1.35e-05
1762848000000,-4.885e-05
1762876800000,5.706e-05
1762905600000,6.811e-05
1762934400000,3.386e-05
1762963200000,9.323e-05
1762992000000,-1.163e-05
1763020800000,1.427e-05
1763049600000,2.564e-05
1763078400000,-4.056e-05
1763107200000,1.296e-05
1763136000000,5.789e-05
1763164800000,4.552e-05
1763193600000,7.12e-05
1763222400000,4.47e-05
1763251200000,9.79e-06
1763280000000,3.754e-05
1763308800000,4.955e-05
1763337600000,5.953e-05
1763366400000,0.0001
1763395200000,7.101e-05
1763424000000,8.162e-05
1763452800000,4.31e-05
1763481600000,0.0001
1763510400000,4.908e-05
1763539200000,-4.34e-06
1763568000000,-9.81e-06
1763596800000,4.555e-05
1763625600000,0.0001
1763654400000,1.338e-05
1763683200000,-4.79e-06
1763712000000,-7.26e-06
1763740800000,5.602e-05
1763769600000,3.39e-05
1763798400000,2.259e-05
1763827200000,6.123e-05
1763856000000,4.974e-05
1763884800000,4.368e-05
1763913600000,9.31e-06
1763942400000,-1.427e-05
1763971200000,-3.212e-05
1764000000000,-1.6e-07
1764028800000,-6.725e-05
1764057600000,-4.14e-06
1764086400000,-4.901e-05
1764115200000,-9.27e-06
1764144000000,-2.68e-06
1764172800000,1.62e-06
1764201600000,3.41e-05
1764230400000,-3.03e-06
1764259200000,-8.01e-06
1764288000000,1.7e-06
1764316800000,-3.78e-06
1764345600000,-7.46e-06
1764374400000,-9.691e-05
1764403200000,-9.76e-06
1764432000000,1.029e-05
1764460800000,7.307e-05
1764489600000,5.238e-05
1764518400000,1.622e-05
1764547200000,7.5e-06
1764576000000,-6.05e-06
1764604800000,-1.07e-06
1764633600000,-9.17e-06
1764662400000,4.832e-05
1764691200000,1.79e-05
1764720000000,9.24e-06
1764748800000,2.73e-05
1764777600000,3.174e-05
1764806400000,7.408e-05
1764835200000,3.057e-05
1764864000000,-8.57e-06
1764892800000,1.741e-05
1764921600000,4.438e-05
1764950400000,-8.68e-06
1764979200000,-5.86e-06
1765008000000,-3.31e-05
1765036800000,-4.707e-05
1765065600000,-8.28e-06
1765094400000,-1.167e-05
1765123200000,2.284e-05
1765152000000,2.87e-05
1765180800000,8.354e-05
1765209600000,3.817e-05
1765238400000,-1.767e-05
1765267200000,1.299e-05
1765296000000,1.324e-05
1765324800000,3.203e-05
1765353600000,1.545e-05
1765382400000,1.461e-05
1765411200000,3.674e-05
1765440000000,-2.557e-05
1765468800000,3.62e-05
1765497600000,8.389e-05
1765526400000,9.806e-05
1765555200000,2.758e-05
1765584000000,-3.41e-06
1765612800000,-2.63e-06
1765641600000,3.709e-05
1765670400000,3.698e-05
1765699200000,1.145e-05
1765728000000,-7.81e-06
1765756800000,4.88e-06
1765785600000,2.867e-05
1765814400000,3.887e-05
1765843200000,7.57e-06
1765872000000,-1.351e-05
1765900800000,5.556e-05
1765929600000,4.598e-05
1765958400000,1.137e-05
1765987200000,8.443e-05
1766016000000,1.63e-06
1766044800000,7.539e-05
1766073600000,0.0001
1766102400000,-6.76e-06
1766131200000,1.709e-05
1766160000000,7.296e-05
1766188800000,3.18e-05
1766217600000,-7.1e-06
1766246400000,-3.557e-05
1766275200000,1.724e-05
1766304000000,-5.37e-06
1766332800000,-1.499e-05
1766361600000,5.372e-05
1766390400000,5.485e-05
1766419200000,6.76e-05
1766448000000,-2.911e-05
1766476800000,-1.673e-05
1766505600000,1.491e-05
1766534400000,2.786e-05
1766563200000,-2.072e-05
1766592000000,4.572e-05
1766620800000,9.492e-05
1766649600000,7.46e-05
1766678400000,5.249e-05
1766707200000,3.744e-05
1766736000000,0.0001
1766764800000,0.0001
1766793600000,3.048e-05
1766822400000,2.438e-05
1766851200000,6.103e-05
1766880000000,5.786e-05
1766908800000,0.0001
1766937600000,9.813e-05
1766966400000,3.373e-05
1766995200000,0.0001
1767024000000,-2.482e-05
1767052800000,5.475e-05
1767081600000,-3.667e-05
1767110400000,6.054e-05
1767139200000,3.257e-05
1767168000000,9.464e-05
1767196800000,0.0001
1767225600000,3.574e-05
1767254400000,8.507e-05
1767283200000,9.47e-06
1767312000000,0.0001
1767340800000,0.0001
1767369600000,5.313e-05
1767398400000,-2.524e-05
1767427200000,2.096e-05
1767456000000,5.118e-05
1767484800000,0.0001
1767513600000,6.052e-05
1767542400000,-7.9e-07
1767571200000,-1.535e-05
1767600000000,5.121e-05
1767628800000,4.996e-05
1767657600000,-4.661e-05
1767686400000,-2.22e-05
1767715200000,4.68e-05
1767744000000,9.017e-05
1767772800000,9.575e-05
1767801600000,2.304e-05
1767830400000,8.564e-05
1767859200000,-1.38e-05
1767888000000,5.29e-05
1767916800000,2.24e-06
1767945600000,5.446e-05
1767974400000,1.388e-05
1768003200000,5.876e-05
1768032000000,0.0001
1768060800000,8.103e-05
1768089600000,4.147e-05
1768118400000,9.574e-05
1768147200000,4.794e-05
1768176000000,3.946e-05
1768204800000,2.655e-05
1768233600000,5.58e-06
1768262400000,2.203e-05
1768291200000,0.0001
1768320000000,8.533e-05
1768348800000,7.769e-05
1768377600000,0.0001
1768406400000,0.0001
1768435200000,-7.68e-06
1768464000000,1.93e-06
