datetime,open,high,low,close,volume,turnover
2024-06-13 09:00:00,67555.3,67942.8,67152.6,67707.0,16806.975,1135289827.2033
2024-06-13 15:00:00,67707.0,68500.0,66225.9,66885.7,56276.105,3786840264.9848
2024-06-13 21:00:00,66885.7,66953.4,66477.9,66742.5,11047.556,737474746.0876
2024-06-14 03:00:00,66742.5,67191.7,66450.5,67029.8,10921.633,729646231.3934
2024-06-14 09:00:00,67029.8,67232.0,66727.3,67000.4,12199.764,817092505.7446
2024-06-14 15:00:00,67000.4,67341.0,65030.0,65378.6,55104.704,3643447037.6575
2024-06-14 21:00:00,65378.6,66600.0,65056.7,66021.2,23469.177,1543283860.7209
2024-06-15 03:00:00,66021.2,66370.0,65958.6,66202.0,7058.481,467148276.1145
2024-06-15 09:00:00,66202.0,66381.3,66045.3,66289.9,6449.799,426845934.3632
2024-06-15 15:00:00,66289.9,66446.1,66092.2,66213.8,6247.598,413955945.8367
2024-06-15 21:00:00,66213.8,66250.0,65808.1,66184.0,6014.334,397328796.3225
2024-06-16 03:00:00,66184.0,66228.7,66007.5,66227.4,3076.136,203421046.4153
2024-06-16 09:00:00,66227.4,66745.7,66145.2,66450.2,8665.592,575787771.6376
2024-06-16 15:00:00,66450.2,66780.2,66438.7,66552.2,8539.613,568690765.7292
2024-06-16 21:00:00,66552.2,66949.6,66421.1,66638.2,8813.696,587618693.3924
2024-06-17 03:00:00,66638.2,66887.4,66110.0,66332.4,13528.163,898268906.1247
2024-06-17 09:00:00,66332.4,66372.8,65526.8,65778.6,21935.901,1446338843.5804
2024-06-17 15:00:00,65778.6,66579.6,65058.0,66579.2,39303.401,2581297361.6286
2024-06-17 21:00:00,66579.2,67289.9,66105.2,66454.8,31809.195,2121316912.0514
2024-06-18 03:00:00,66454.8,66552.8,64500.0,65575.4,47976.346,3132626833.0923
2024-06-18 09:00:00,65575.4,65780.0,65080.0,65339.6,16285.837,1066049325.1066
2024-06-18 15:00:00,65339.6,65404.0,64200.0,64581.1,54113.57,3505698154.8817
2024-06-18 21:00:00,64581.1,65307.5,64026.6,65146.5,28976.637,1873932186.9639
2024-06-19 03:00:00,65146.5,65700.0,64780.0,65387.1,24500.136,1599403503.3918
2024-06-19 09:00:00,65387.1,65642.1,64953.5,65179.2,17812.791,1162523816.748
2024-06-19 15:00:00,65179.2,65280.1,64710.0,65057.6,14775.639,960344691.8028
2024-06-19 21:00:00,65057.6,65138.5,64650.0,64940.2,9665.718,627187496.1548
2024-06-20 03:00:00,64940.2,65594.0,64811.1,65495.4,12645.155,824325095.7293
2024-06-20 09:00:00,65495.4,66458.0,65356.3,66156.3,25383.081,1673443615.9216
2024-06-20 15:00:00,66156.3,66288.2,64514.2,64955.0,47511.153,3096640453.4133
2024-06-20 21:00:00,64955.0,65198.8,64820.0,64853.9,11847.626,770420012.1181
2024-06-21 03:00:00,64853.9,65070.7,64259.4,64640.1,17913.642,1158107596.5389
2024-06-21 09:00:00,64640.1,64720.1,63422.1,63731.1,37842.161,2421339931.4026
2024-06-21 15:00:00,63731.1,64339.8,63333.0,63641.8,38909.481,2480417680.479
2024-06-21 21:00:00,63641.8,64440.0,63620.8,64108.3,14315.227,917473015.4325
2024-06-22 03:00:00,64108.3,64384.0,63904.1,64384.0,5979.666,383797509.8923
2024-06-22 09:00:00,64384.0,64498.9,64171.2,64238.3,7612.964,489742192.6949
2024-06-22 15:00:00,64238.3,64371.5,64220.4,64227.9,3204.239,205954824.9236
